dataset,model,threshold_rule,threshold,accuracy,precision,recall,f1,pr_auc_average_precision,roc_auc
UCI enrolment,Logistic Regression,default_0.5,0.5,0.7644628099173554,0.672782874617737,0.7746478873239436,0.7201309328968903,0.8219392933507443,0.8549088649544325
UCI enrolment,Neural Network,default_0.5,0.5,0.7341597796143251,0.6857142857142857,0.5915492957746479,0.6351606805293005,0.709618233312437,0.7564846090115352
UCI enrolment,Logistic Regression,f1_max_on_validation,0.475,0.7575757575757576,0.6616766467065869,0.778169014084507,0.7152103559870551,0.8219392933507443,0.8549088649544325
UCI enrolment,Neural Network,f1_max_on_validation,0.15,0.7066115702479339,0.6187290969899666,0.6514084507042254,0.6346483704974271,0.709618233312437,0.7564846090115352
OULAD day 30,Logistic Regression,default_0.5,0.5,0.6393680769929181,0.28565121412803535,0.6374384236453202,0.39451219512195124,0.34334543016341046,0.6887826853651154
OULAD day 30,Neural Network,default_0.5,0.5,0.687670237879063,0.23193916349809887,0.30049261083743845,0.26180257510729615,0.22963635260164666,0.5811176080958376
OULAD day 30,Logistic Regression,f1_max_on_validation,0.525,0.6658797893589976,0.2970978848991638,0.5950738916256157,0.3963254593175853,0.34334543016341046,0.6887826853651154
OULAD day 30,Neural Network,f1_max_on_validation,0.05,0.5729072090067188,0.22110972048393826,0.5221674876847291,0.3106682297772567,0.22963635260164666,0.5811176080958376
