dataset,model,threshold_rule,threshold,accuracy,precision,recall,f1,pr_auc_average_precision,roc_auc
OULAD day 30,Logistic Regression,default_0.5,0.5,0.6393680769929181,0.28565121412803535,0.6374384236453202,0.39451219512195124,0.34334543016341046,0.6887826853651154
OULAD day 30,Neural Network,default_0.5,0.5,0.687670237879063,0.23193916349809887,0.30049261083743845,0.26180257510729615,0.22963635260164666,0.5811176080958376
OULAD day 30,Logistic Regression,f1_max_on_validation,0.525,0.6658797893589976,0.2970978848991638,0.5950738916256157,0.3963254593175853,0.34334543016341046,0.6887826853651154
OULAD day 30,Neural Network,f1_max_on_validation,0.05,0.5729072090067188,0.22110972048393826,0.5221674876847291,0.3106682297772567,0.22963635260164666,0.5811176080958376
