dataset,model,threshold_rule,threshold,accuracy,precision,recall,f1,pr_auc_average_precision,roc_auc
UCI enrolment,Logistic Regression,default_0.5,0.5,0.7644628099173554,0.672782874617737,0.7746478873239436,0.7201309328968903,0.8219392933507443,0.8549088649544325
UCI enrolment,Neural Network,default_0.5,0.5,0.7341597796143251,0.6857142857142857,0.5915492957746479,0.6351606805293005,0.709618233312437,0.7564846090115352
UCI enrolment,Logistic Regression,f1_max_on_validation,0.475,0.7575757575757576,0.6616766467065869,0.778169014084507,0.7152103559870551,0.8219392933507443,0.8549088649544325
UCI enrolment,Neural Network,f1_max_on_validation,0.15,0.7066115702479339,0.6187290969899666,0.6514084507042254,0.6346483704974271,0.709618233312437,0.7564846090115352
